野菜の名前,性格や人間性,向いている職業1,向いている職業2,向いている職業3,A (外向),H (頑固),S (刺激), 詳細ID, 育て方のコツ, おすすめ商品キーワード
レンズ豆,非常に理性的で、細かいことによく気がつく「レンズ（鏡）」のような観察眼を持っています。一つ一つは小さいですが、集まった時のパワーは凄まじく、データ分析や緻密な計算を得意とします。古くから人類を支えてきた歴史があるように、質素倹約を重んじ、無駄のない合理的な生活を好むしっかり者です。,会計士,アーキビスト,プログラマー,9.3,8.1,9.6,lentil,寒さに比較的強く、秋まきが一般的。草丈があまり高くならないので、支柱なしでも育てられます。サヤが茶色く乾いてきたら株ごと引き抜いて、数日間天日干しして収穫します。,レンズ豆 種 家庭菜園
落花生（ピーナッツ）,土の中で実を結ぶという、非常にユニークでミステリアスな感性の持ち主。外側は頑丈な殻でガードしており、本心を明かすのは本当に信頼した人だけです。独自のアイデアを地下（水面下）でじっくり育て、ある日突然完成品を披露して周囲を驚かせる、クリエイティブな仕掛け人タイプです。,発明家,研究者,ミステリー作家,9.4,1.7,3,peanut,花が咲いた後、花の付け根から「へそ（落とし）」が伸びて土に潜り、地中で実をつけます。土が硬いと潜れないため、花が咲き始めたら周囲の土を柔らかく耕してあげましょう。,落花生 苗 千葉県産
エンドウ豆（グリーンピース）,コロコロと転がるような明るさと、集団の中にいることで安心感を得る協調性の塊。料理の彩りを整えるように、場の調整役やムードメーカーとして重宝されます。少し潔癖なところがあり、不純なものや曲がったことを嫌う正義感も。仲間と一緒に目標へ向かう時に、最大のパフォーマンスを発揮します。,コミュニティマネージャー,チームリーダー,ウェディングプランナー,3.3,4.6,8.5,green-peas,冬の寒さに当てることで春に大きく育ちます。春先の急成長期にネットへしっかり誘引し、アブラムシがつかないよう木酢液などで防除すると、甘くてホクホクの実が収穫できます。,グリーンピース 種 豊作
黒豆,どっしりとした風格と、気品あふれる落ち着きを持った「完成された大人」。おせち料理の定番であるように、伝統やマナーを重んじる保守的な一面がありますが、その安定感は抜群です。苦労を厭わず「まめ（誠実）」に働く姿は、周囲に安心感と威厳を与えます。年齢を重ねるほどに渋みと魅力が増していくタイプです。,政治家,家元,アンティークディーラー,1.2,6.1,6,black-soybean,基本は大豆と同じですが、実が大きくなる時期に水分を必要とします。秋の乾燥期にたっぷり水やりをすることで、シワのない、ツヤツヤで立派な黒豆へと成長します。,黒豆 苗 丹波特産
かぼちゃ,外見は頑丈で無骨ですが、内側は非常に甘く、栄養たっぷりの包容力を持っています。長期保存が効くように、忍耐強く「時が来る」のを待てる戦略家。収穫後も寝かせることで価値が増すように、経験を積むほど魅力が開花する熟成型性格です。,不動産鑑定士,歴史家,保育園経営,8,9.3,3.6,pumpkin,親づるを摘心して子づるを伸ばすのが基本。広い場所がない場合は、支柱に這わせる「空中栽培」も可能です。収穫後、1ヶ月ほど風通しの良い場所に置くと甘みがグッと増します。,かぼちゃ 苗 栗かぼちゃ
とうもろこし,真っ直ぐに伸びる茎のように正義感が強く、一列に並んだ粒のように規律を重んじます。皮（プライド）に包まれていますが、実は情に厚く、仲間を大切にするチームプレイヤー。黄金色の輝きは、あなたの持つポジティブなエネルギーの象徴です。,プロジェクトリーダー,警察官,ツアーガイド,2.8,3.2,9.7,corn,受粉を確実にするため、2列以上で「ブロック状」に植えるのが鉄則。一番上の実（1番穂）だけを残し、下の実はヤングコーンとして早めに摘み取ると、甘みが1箇所に集中します。,とうもろこし 種 甘い品種
唐辛子,ピリリと刺激的で、一度会ったら忘れられない強烈な個性の持ち主。周囲を「熱く」させる情熱家ですが、出しすぎると周囲を火傷させてしまうことも。中毒性のある魅力があり、特定の分野で熱狂的な支持を受ける「カリスマ」タイプです。,ベンチャー起業家,料理研究家,プロレスラー,6.9,8.1,4.2,chili-pepper,暑さに強く、病虫害も少ないので初心者でも安心。実が赤くなったら収穫し、風通しの良い場所に吊るして乾燥させます。水やりを少し控えめにすると、辛みがより強く際立ちます。,唐辛子 苗 鷹の爪
パプリカ,トマト以上の華やかさと、苦味のないクリアな性格。肉厚な心で他人の感情をしっかり受け止める度量があります。彩り豊かな人生を好み、平凡な毎日よりも変化に富んだ環境でこそ、そのビタミンカラーのような元気が発揮されます。,広告プランナー,ファッションモデル,広報,3.7,7.2,2.8,paprika,ピーマンよりも栽培期間が長く、色づくまでに時間がかかります。枝が折れやすいため、支柱でしっかり支えるのが重要。完熟して鮮やかな色になってから収穫すると最高に甘くなります。,パプリカ 苗 3色セット
冬瓜（とうがん）,名前は冬ですが夏が旬。淡白で冷静沈着、どんな環境の「味」にも染まれる適応力の塊です。90%以上が水分であるため、執着心がなく、常にフラットな状態で物事を判断できます。目立たない場所で虎視眈々と実力を蓄える、知的な隠者タイプです。,気象予報士,司書,リスクマネージャー,9,3.3,7.6,winter-melon,つるが非常に長く伸びるため、広いスペースが必要です。真夏の暑さに強く、1株で大きな実がいくつも収穫できます。皮が硬くなったら収穫。冬まで保存できるほど貯蔵性が高いです。,冬瓜 苗 育てやすい
ゴーヤ,唯一無二の苦味（個性）を持つ、自分に厳しいストイックな人。他人と群れることを好まず、自分の道を行くことで輝きます。最初は敬遠されがちですが、その「深み」を知ると離れられなくなる、通好みな魅力の持ち主です。,芸術家,伝統工芸職人,格闘家,8.6,9.5,4.5,goya,つるが非常に伸びるため、グリーンカーテンに最適。親づるを摘心して子づるを横に広げると、実がつく雌花が増えます。肥料切れに注意し、真夏は毎日たっぷり水やりを。,ゴーヤ 栽培ネット 大型
オクラ,粘り強さにかけては右に出るものがいません。どんな困難も「ネバギバ（Never give up）」の精神で乗り越えます。切り口が星型であるように、日常の中に小さなキラリとしたセンスを忘れない、ロマンチストな一面もあります。,研究員,弁護士,長距離ランナー,6.8,9.3,8.5,okra,暑さに強く、夏に美しい花を咲かせます。直根性で植え替えを嫌うため、根を傷つけないよう定植します。収穫が遅れるとすぐ硬くなるので、7?10cm程度で早めに収穫しましょう。,オクラ 種 育てやすい
ズッキーニ,スタイリッシュで都会派。かぼちゃの親戚でありながら、重たさを感じさせない身軽さと洗練された空気を持っています。新しいもの好きで、トレンドをいち早く自分のものにする、ハイブリッドな感性が武器です。,ITコンサルタント,建築家,インテリアデザイナー,7.9,7.9,5.1,zucchini,つるが伸びず、場所をとりません。大きな葉が広がるので株間は広めに。朝のうちに人工授粉を行うと着果が安定します。成長が非常に早いので、収穫時期を逃さないのがコツ。,ズッキーニ 苗 3本セット
苦瓜（にがうり）,ゴーヤの兄弟分ですが、より「野性味」と「生命力」に溢れています。厳しい夏（逆境）に強く、周囲がバテている時ほど元気に活動します。健康意識が高く、自分にも他人にも厳しい「鬼教官」的な一面がありますが、それは愛の裏返しです。,消防士,自衛官,スポーツトレーナー,4.4,3.3,1.4,nigauri,ゴーヤの別名ですが、特に「白ゴーヤ」や「大型種」として育てる場合は、さらに多めの肥料と水が必要です。完熟するとオレンジ色になり爆発するので、緑のうちに収穫します。,白ゴーヤ 苗 珍しい
ししとう,基本的には温厚で謙虚ですが、10個に1個の「激辛（爆発力）」を秘めた予測不能な人。普段の穏やかさと、勝負どころでの大胆な行動のギャップが魅力です。小ぶりな体格を活かした、小回りの効く行動力が武器になります。,デイトレーダー,スパイ,探偵,6.6,9.5,6.5,shishito,非常に多収で、初心者でも失敗が少ない野菜です。一番花が咲いたら下のわき芽を2本残して3本仕立てに。乾燥させると辛い実が混じるので、水切れには特に注意してください。,ししとう 苗 豊作
冬至かぼちゃ,通常のかぼちゃよりもさらに「粘り」と「深み」が増した、熟練の知恵袋タイプ。古くからの習慣や伝統を重んじ、コミュニティの守護神のような役割を果たします。あなたの言葉には、人を安心させる不思議な重みがあります。,アドバイザー,住職,古美術商,2.7,5,7.6,winter-pumpkin,夏に収穫したかぼちゃを長期保存するか、あるいは夏以降に植えて秋に収穫します。皮が硬く、デンプン質が多いため、収穫後1ヶ月以上寝かせると甘みが最高潮に達します。,かぼちゃ 苗 完熟
夕顔（ゆうがお）,大きな実をつけ、加工すれば「かんぴょう」として長く愛される、変幻自在の職人気質。夜に花を咲かせるように、人知れず努力を重ねるタイプ。派手なパフォーマンスより、実利を重んじる現実主義者です。,製造業,職人,資材管理,9.3,7.8,8.3,yugao,かんぴょうの原料になる大きな実をつけます。夜に白い花を咲かせる幻想的な野菜。非常に重くなるため、地這い栽培（地面に這わせる）が適しています。水はけの良い広い場所で。,夕顔 種 かんぴょう
ハヤトウリ,非常に繁殖力が強く、どんな土地でも根を張るタフな性格。淡白でクセがないため、どんな人間関係も卒なくこなします。一見すると何を考えているか分かりにくいですが、実は非常に計画的な「策士」です。,都市計画家,土地家屋調査士,不動産仲介,1.5,7.3,8.7,chayote,1株で100個以上採れることもあるほど多産。1つの実をそのまま土に埋めて芽を出させます。霜に弱いため、温かくなってから植え、秋の収穫まで肥料を絶やさず育てます。,ハヤトウリ 種用 果実
